epoch,train_loss,val_loss,val_auc,lr
1,0.559303,0.586699,0.742178,2.00e-03
2,0.529715,0.570608,0.747599,2.00e-03
3,0.522837,0.567198,0.751398,2.00e-03
4,0.518336,0.565693,0.752082,2.00e-03
5,0.515398,0.564759,0.753233,2.00e-03
6,0.513360,0.563658,0.754644,2.00e-03
7,0.511497,0.563712,0.754028,2.00e-03
8,0.510802,0.564963,0.753922,2.00e-03
9,0.509828,0.564588,0.753980,2.00e-03
10,0.509000,0.564332,0.754522,2.00e-03
11,0.502431,0.561886,0.756926,7.00e-04
12,0.500893,0.560506,0.757821,7.00e-04
13,0.500633,0.560775,0.757981,7.00e-04
14,0.500920,0.560521,0.757962,7.00e-04
15,0.501061,0.560744,0.757493,7.00e-04
16,0.501633,0.561316,0.757367,7.00e-04
17,0.497533,0.560355,0.758679,2.45e-04
18,0.496773,0.560068,0.758216,2.45e-04
19,0.496815,0.559699,0.758370,2.45e-04
20,0.497220,0.559422,0.758676,2.45e-04
21,0.497606,0.559719,0.758285,2.45e-04
22,0.498077,0.559520,0.758822,2.45e-04
23,0.498339,0.560591,0.758336,2.45e-04
24,0.498658,0.559918,0.757866,2.45e-04
25,0.496123,0.561303,0.758099,8.57e-05
26,0.495595,0.559983,0.758643,8.57e-05
27,0.495591,0.559185,0.758745,8.57e-05
28,0.495568,0.560059,0.758626,8.57e-05
29,0.495701,0.559593,0.758574,8.57e-05
30,0.495886,0.561027,0.758123,8.57e-05
31,0.495969,0.559656,0.758561,8.57e-05
32,0.494512,0.560645,0.758415,3.00e-05
