epoch,train_loss,val_loss,val_auc,lr
1,0.561869,0.581036,0.736909,1.00e-03
2,0.545511,0.580219,0.737265,1.00e-03
3,0.543007,0.581172,0.738149,1.00e-03
4,0.539704,0.580882,0.740430,1.00e-03
5,0.537434,0.576862,0.741066,1.00e-03
6,0.535163,0.578135,0.741387,1.00e-03
7,0.533694,0.575814,0.742686,1.00e-03
8,0.533301,0.574201,0.741782,1.00e-03
9,0.533011,0.573311,0.742193,1.00e-03
10,0.532236,0.572770,0.743391,1.00e-03
11,0.531432,0.572667,0.743144,1.00e-03
12,0.531279,0.573361,0.742888,1.00e-03
13,0.530962,0.572107,0.743662,1.00e-03
14,0.530992,0.574071,0.743136,1.00e-03
15,0.531076,0.573795,0.743177,1.00e-03
16,0.530972,0.573680,0.742523,1.00e-03
17,0.530821,0.574008,0.741587,1.00e-03
18,0.529114,0.572078,0.743509,5.00e-04
19,0.528983,0.571859,0.743597,5.00e-04
20,0.528904,0.572121,0.744409,5.00e-04
21,0.528887,0.571276,0.744304,5.00e-04
22,0.528781,0.571911,0.743381,5.00e-04
23,0.528865,0.571815,0.744004,5.00e-04
24,0.528909,0.572185,0.743326,5.00e-04
25,0.528853,0.572493,0.743557,5.00e-04
26,0.527834,0.571559,0.743988,2.50e-04
27,0.527732,0.571335,0.744588,2.50e-04
28,0.527775,0.571721,0.744102,2.50e-04
29,0.527689,0.571599,0.743867,2.50e-04
30,0.527068,0.571583,0.744591,1.25e-04
