feature,importance,val_auc,train_auc,n_train,n_val
user_avg_completion,19170856.416080344,0.7933127899612713,0.8442952547525182,6651653,726047
user_skip_rate,16871746.515393257,0.7933127899612713,0.8442952547525182,6651653,726047
song_avg_completion,12243384.321474325,0.7933127899612713,0.8442952547525182,6651653,726047
song_skip_rate,10730184.767338775,0.7933127899612713,0.8442952547525182,6651653,726047
source_channel_encoded,7291529.785209924,0.7933127899612713,0.8442952547525182,6651653,726047
svd_dot_score,7223171.707333803,0.7933127899612713,0.8442952547525182,6651653,726047
user_history_position,5799859.478213754,0.7933127899612713,0.8442952547525182,6651653,726047
song_target_rate,4522599.134564623,0.7933127899612713,0.8442952547525182,6651653,726047
song_play_count_log,2058608.10548985,0.7933127899612713,0.8442952547525182,6651653,726047
user_artist_match,1692837.6777567659,0.7933127899612713,0.8442952547525182,6651653,726047
user_play_count_log,1129121.3271700107,0.7933127899612713,0.8442952547525182,6651653,726047
song_unique_users_log,978391.6712538153,0.7933127899612713,0.8442952547525182,6651653,726047
days_since_artist_log,810205.4206256624,0.7933127899612713,0.8442952547525182,6651653,726047
svd_user_song_0,635782.5000704601,0.7933127899612713,0.8442952547525182,6651653,726047
svd_user_song_2,575413.3544891775,0.7933127899612713,0.8442952547525182,6651653,726047
svd_song_user_0,556814.358782813,0.7933127899612713,0.8442952547525182,6651653,726047
svd_song_user_2,553193.8284987211,0.7933127899612713,0.8442952547525182,6651653,726047
svd_song_user_7,548909.4298871234,0.7933127899612713,0.8442952547525182,6651653,726047
svd_user_song_3,444453.27031371,0.7933127899612713,0.8442952547525182,6651653,726047
svd_user_artist_0,420047.4709971808,0.7933127899612713,0.8442952547525182,6651653,726047
svd_user_song_4,409449.9793843776,0.7933127899612713,0.8442952547525182,6651653,726047
artist_encoded,401429.75149007887,0.7933127899612713,0.8442952547525182,6651653,726047
svd_song_user_5,364810.1999757588,0.7933127899612713,0.8442952547525182,6651653,726047
svd_user_song_6,349082.0484464611,0.7933127899612713,0.8442952547525182,6651653,726047
svd_user_artist_4,340175.8928283453,0.7933127899612713,0.8442952547525182,6651653,726047
svd_user_song_5,328596.5509479344,0.7933127899612713,0.8442952547525182,6651653,726047
svd_song_user_1,324545.9543207586,0.7933127899612713,0.8442952547525182,6651653,726047
svd_song_user_3,319945.3204655647,0.7933127899612713,0.8442952547525182,6651653,726047
svd_user_song_9,311167.1392560494,0.7933127899612713,0.8442952547525182,6651653,726047
hour_match,271064.78536836803,0.7933127899612713,0.8442952547525182,6651653,726047
svd_song_user_4,254002.66435714066,0.7933127899612713,0.8442952547525182,6651653,726047
svd_user_artist_3,251248.11487453338,0.7933127899612713,0.8442952547525182,6651653,726047
svd_song_user_6,157783.8892889619,0.7933127899612713,0.8442952547525182,6651653,726047
svd_song_user_8,155804.7844260931,0.7933127899612713,0.8442952547525182,6651653,726047
svd_song_user_9,153484.4895369187,0.7933127899612713,0.8442952547525182,6651653,726047
user_id_encoded,142783.61519399285,0.7933127899612713,0.8442952547525182,6651653,726047
song_age_days_log,140133.43832876906,0.7933127899612713,0.8442952547525182,6651653,726047
genre_encoded,103859.1543161273,0.7933127899612713,0.8442952547525182,6651653,726047
language_encoded,103841.16682645679,0.7933127899612713,0.8442952547525182,6651653,726047
origin_country_encoded,47508.63609081507,0.7933127899612713,0.8442952547525182,6651653,726047
song_id_encoded,21970.05504919775,0.7933127899612713,0.8442952547525182,6651653,726047
user_genre_match,0.0,0.7933127899612713,0.8442952547525182,6651653,726047
user_artist_repeat_rate,0.0,0.7933127899612713,0.8442952547525182,6651653,726047
user_target_rate,0.0,0.7933127899612713,0.8442952547525182,6651653,726047
user_language_match,0.0,0.7933127899612713,0.8442952547525182,6651653,726047
user_country_match,0.0,0.7933127899612713,0.8442952547525182,6651653,726047
